cwjobs.co.uk,24000,93000,40000.0
jobsineducation.co.uk,30500,30500,30500.0
TotallyLegal,37000,70000,53500.0
jobsite.co.uk,18000,85000,45000.0
ukstaffsearch.com,27500,64999,42699.0
britishjobsonthe.net,30000,30000,30000.0
theladders.co.uk,62499,62499,62499.0
cv-library.co.uk,13440,53760,22500.0
theitjobboard.co.uk,35000,52500,43750.0
drapersjobs.com,30000,30000,30000.0
emptylemon.co.uk,35000,35000,35000.0
fish4.co.uk,18000,39600,27750.0
careers4a.com,31200,47500,39350.0
london4jobs.co.uk,14999,57500,54999.0
leisurejobs.com,15936,15936,15936.0
jobsinscotland.com,21568,21568,21568.0
Jobs Ac,32919,54501,40994.0
jobs.telegraph.co.uk,37500,37500,37500.0
rengineeringjobs.com,30000,60000,47500.0
technojobs.co.uk,50000,55000,52500.0
salestarget.co.uk,18000,37500,26750.0
jobs.communitycare.co.uk,26471,26471,26471.0
jobs.opticianonline.net,42500,42500,42500.0
MyUkJobs,29000,35000,30000.0
cvbrowser.com,33500,40000,39223.0
staffnurse.com,27340,40000,36250.0
legalweekjobs.com,65000,87500,76250.0
caterer.com,16000,40500,27000.0
GAAPweb,25000,26000,25500.0
jobs.guardian.co.uk,18000,35000,28336.0
justengineers.net,37500,37500,37500.0
oilandgasjobsearch.com,45000,80000,62500.0
hays.co.uk,28000,56000,34000.0
careerbuilder.com,20000,20000,20000.0
careworx.co.uk,25000,33600,29300.0
jobserve.com,40000,52500,46250.0
jobs.thegrocer.co.uk,42500,42500,42500.0
retailchoice.com,31500,55000,40000.0
totaljobs.com,11884,67500,26500.0
simplysalesjobs.co.uk,35000,35000,35000.0
Brand Republic Jobs,24500,70000,47250.0
Jobcentre Plus,11884,38400,19392.0
newscientistjobs.com,72000,72000,72000.0
jobs.catererandhotelkeeper.com,12999,23500,20000.0
gojobsearch.co.uk,30000,32500,31250.0
simplymarketingjobs.co.uk,35000,35000,35000.0
